Source,Target,Type,timestamp
88a9zp,1,direct,1522444830.0
88bw7r,1,direct,1522458155.0
882mxq,1,direct,1522369474.0
889i01,1,direct,1522436098.0
88a5rw,1,direct,1522443723.0
88dgxz,1,direct,1522470532.0
88bols,1,direct,1522456552.0
88bj35,1,direct,1522455342.0
88bhq1,1,direct,1522455037.0
8817cv,1,direct,1522358478.0
88bfo5,1,direct,1522454607.0
883txa,1,direct,1522377982.0
88ber1,1,direct,1522454407.0
87v6wp,1,direct,1522297129.0
886lyn,1,direct,1522400888.0
88bbh2,1,direct,1522453692.0
881bu0,1,direct,1522359579.0
88baup,1,direct,1522453578.0
887dne,1,direct,1522408438.0
88cyj2,1,direct,1522466454.0
884pmx,1,direct,1522384566.0
888gl5,1,direct,1522421198.0
885jn4,1,direct,1522391329.0
88b5p6,1,direct,1522452438.0
88b54r,1,direct,1522452303.0
88b0de,1,direct,1522451200.0
886l9h,1,direct,1522400701.0
889kq0,1,direct,1522437076.0
88aw8g,1,direct,1522450251.0
880i0a,1,direct,1522351627.0
88auhv,1,direct,1522449851.0
8870qs,1,direct,1522404829.0
87zaxt,1,direct,1522336355.0
88at1i,1,direct,1522449518.0
88ass0,1,direct,1522449444.0
88ch5y,1,direct,1522462602.0
88aqtn,1,direct,1522448988.0
888w7g,1,direct,1522427472.0
887tdj,1,direct,1522413135.0
887j0s,1,direct,1522409952.0
88alue,1,direct,1522447845.0
885rvk,1,direct,1522393358.0
888r0g,1,direct,1522425333.0
883nvc,1,direct,1522376779.0
886d7y,1,direct,1522398592.0
881136,1,direct,1522356955.0
88cxyg,1,direct,1522466323.0
881w32,1,direct,1522363956.0
88a5sn,1,direct,1522443730.0
88a5d7,1,direct,1522443633.0
88cs9d,1,direct,1522465043.0
88bp1g,1,direct,1522456650.0
88a15k,1,direct,1522442427.0
88bk3i,1,direct,1522455567.0
889ya2,1,direct,1522441561.0
880j1e,1,direct,1522351950.0
888xaj,1,direct,1522427957.0
889v1l,1,direct,1522440586.0
887sav,1,direct,1522412786.0
88ca1a,1,direct,1522461071.0
889qn1,1,direct,1522439162.0
88cui9,1,direct,1522465544.0
886jm7,1,direct,1522400278.0
885g4e,1,direct,1522390513.0
889lde,1,direct,1522437308.0
889l3x,1,direct,1522437215.0
889l1u,1,direct,1522437202.0
889j04,1,direct,1522436475.0
87yxhy,1,direct,1522331794.0
889gqb,1,direct,1522435616.0
889g56,1,direct,1522435402.0
889ffb,1,direct,1522435123.0
880q54,1,direct,1522354089.0
8854hu,1,direct,1522387836.0
885kp5,1,direct,1522391580.0
886ttl,1,direct,1522402975.0
889c0u,1,direct,1522433882.0
881i1r,1,direct,1522361016.0
887hx3,1,direct,1522409647.0
887hm0,1,direct,1522409570.0
8893bn,1,direct,1522430493.0
882x6t,1,direct,1522371456.0
886rhj,1,direct,1522402352.0
888ytb,1,direct,1522428611.0
886lgk,1,direct,1522400764.0
881zev,1,direct,1522364652.0
886iwt,1,direct,1522400073.0
888v1o,1,direct,1522427034.0
883g9p,1,direct,1522375317.0
88bw1t,1,direct,1522458125.0
87wl85,1,direct,1522308408.0
88bskh,1,direct,1522457413.0
887qjg,1,direct,1522412274.0
8801tu,1,direct,1522346459.0
884esf,1,direct,1522382330.0
